id,name,salary_from,salary_to,salary_currency,area,city,latitude,longitude,employer_url,professional_role
109547050,Специалист технической поддержки (Алматы),,,,Алматы,Алматы,43.237156,76.945618,https://hh.ru/employer/1527984,Специалист технической поддержки
109547028,"ТОО ""A-Medical Systems""",300000,300000,KZT,Алматы,Алматы,43.205169,76.890857,https://hh.ru/employer/5735949,Бухгалтер
109547006,"Ассистент оператора на производственную линию, Табачное производство",,280000,KZT,Алматы,Алматы,,,https://hh.ru/employer/1461565,Оператор производственной линии
108101721,Продавец в кулинарный отдел,190000,190000,KZT,Алматы,Алматы,43.251847,76.912632,https://hh.ru/employer/4370555,"Продавец-консультант, продавец-кассир"
107258883,Бухгалтер-калькулятор на производство,350000,,KZT,Алматы,Алматы,43.251847,76.912632,https://hh.ru/employer/4370555,Бухгалтер
108912335,Гувернантка/Гувернер,1500000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/669155,"Воспитатель, няня"
108912349,Горничная/домработница/домработник,400000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/669155,"Уборщица, уборщик"
109546565,Официант,400000,800000,KZT,Алматы,Алматы,43.231468,76.899822,https://hh.ru/employer/11559848,"Официант, бармен, бариста"
109546553,Монтажник/сборщик теплиц,500000,700000,KZT,Алматы,Алматы,,,https://hh.ru/employer/4604981,Монтажник
109546445,Бариста\Старший Бариста в кофейню,200000,300000,KZT,Алматы,Алматы,43.247795,76.869144,https://hh.ru/employer/4462494,"Официант, бармен, бариста"
109546429,Продавец-кассир (ТРК Grand Park),350000,500000,KZT,Алматы,Алматы,43.237971,76.850468,https://hh.ru/employer/135132,"Продавец-консультант, продавец-кассир"
108439848,IT-инженер,250000,250000,KZT,Алматы,Алматы,43.208225,76.85019,https://hh.ru/employer/761839,Специалист по информационной безопасности
108113282,Методолог,,,,Алматы,Алматы,,,https://hh.ru/employer/23817,Методолог
109546313,Специалист склада (комплектовщик),295000,310000,KZT,Алматы,Алматы,,,https://hh.ru/employer/2292,"Упаковщик, комплектовщик"
108586567,"Водитель-экспедитор (с личным автомобилем минивэн, ларгус)",350000,,KZT,Алматы,Алматы,43.290293,76.905131,https://hh.ru/employer/2293969,Водитель
